time;soil-tension-0;soil-temperature-1;soil-tension-1;soil-tension-2;soil-temperature-2
08.02.2023 16:30;5.9;12;12.3;9.8;12.6
08.02.2023 16:40;6;12;12.3;9.8;12.6
08.02.2023 16:50;5.9;12;12.3;9.8;12.6
08.02.2023 17:00;6;12;12.3;9.8;12.6
08.02.2023 17:10;5.9;12;12.3;9.8;12.6
08.02.2023 17:20;6;12;12.3;9.8;12.6
08.02.2023 17:30;5.9;12;12.3;9.8;12.6
08.02.2023 17:40;6;12;12.3;9.9;12.6
08.02.2023 17:50;6;12;12.3;9.8;12.6
08.02.2023 18:00;6;11.9;12.3;9.8;12.6
08.02.2023 18:10;6;12;12.3;9.8;12.6
08.02.2023 18:20;6;12;12.3;9.8;12.6
08.02.2023 18:30;6;12;12.3;9.8;12.6
08.02.2023 18:40;6;11.9;12.3;9.9;12.6
08.02.2023 18:50;6;12;12.3;9.8;12.6
08.02.2023 19:00;6.1;11.9;12.3;9.8;12.6
08.02.2023 19:10;6;11.9;12.3;9.9;12.6
08.02.2023 19:20;6;11.9;12.4;9.8;12.6
08.02.2023 19:30;6.1;11.8;12.3;9.8;12.6
08.02.2023 19:40;6;11.8;12.3;9.8;12.6
08.02.2023 19:50;6.1;11.8;12.3;9.8;12.6
08.02.2023 20:00;6;11.8;12.3;9.8;12.6
08.02.2023 20:10;6;11.8;12.3;9.8;12.5
08.02.2023 20:20;6;11.8;12.3;9.8;12.5
08.02.2023 20:30;6;11.8;12.4;9.9;12.5
08.02.2023 20:40;6.1;11.7;12.4;9.9;12.5
08.02.2023 20:50;6;11.8;12.4;9.8;12.5
08.02.2023 21:00;6;11.7;12.4;9.8;12.5
08.02.2023 21:10;6;11.7;12.4;;
08.02.2023 21:20;6.1;11.6;12.4;9.8;12.5
08.02.2023 21:30;6.1;11.6;12.4;9.8;12.5
08.02.2023 21:40;6.1;11.6;12.4;9.8;12.5
08.02.2023 21:50;6.1;11.6;12.4;9.9;12.5
08.02.2023 22:00;6.1;11.6;12.4;9.8;12.5
08.02.2023 22:10;6.1;11.6;12.4;9.8;12.4
08.02.2023 22:20;6.2;11.6;12.4;9.8;12.4
08.02.2023 22:30;6.1;11.6;12.4;9.8;12.4
08.02.2023 22:40;6.1;11.6;12.4;9.8;12.4
08.02.2023 22:50;6.2;11.5;12.4;9.8;12.4
08.02.2023 23:00;6.2;11.5;12.5;9.8;12.4
08.02.2023 23:10;6.2;11.5;12.5;9.9;12.3
08.02.2023 23:20;6.2;11.5;12.5;9.9;12.3
08.02.2023 23:30;6.2;11.5;12.5;9.8;12.3
08.02.2023 23:40;6.2;11.4;12.4;9.8;12.3
08.02.2023 23:50;6.2;11.4;12.4;9.8;12.3
09.02.2023 00:00;6.2;11.4;12.5;9.9;12.3
09.02.2023 00:10;6.2;11.4;12.5;9.8;12.3
09.02.2023 00:20;6.2;11.3;12.5;9.8;12.3
09.02.2023 00:30;6.2;11.3;12.5;9.8;12.3
09.02.2023 00:40;6.2;11.3;12.5;9.9;12.3
09.02.2023 00:50;6.2;11.3;12.5;9.8;12.2
09.02.2023 01:00;6.2;11.3;12.5;9.8;12.2
09.02.2023 01:10;6.2;11.3;12.5;9.9;12.2
09.02.2023 01:20;6.2;11.3;12.5;9.8;12.2
09.02.2023 01:30;6.2;11.2;12.5;9.9;12.1
09.02.2023 01:40;6.2;11.2;12.5;9.8;12.1
09.02.2023 01:50;6.4;11.2;12.5;9.9;12.1
09.02.2023 02:00;6.2;11.1;12.6;9.9;12.1
09.02.2023 02:10;6.4;11.1;12.5;9.8;12.1
09.02.2023 02:20;6.2;11.1;12.5;9.9;12.1
09.02.2023 02:30;6.2;11.1;12.5;9.9;12.1
09.02.2023 02:40;;;12.5;9.9;12.1
09.02.2023 02:50;6.4;11.1;12.6;9.9;12
09.02.2023 03:00;6.4;11.1;12.6;9.9;12.1
09.02.2023 03:10;6.4;11.1;12.6;9.9;12
09.02.2023 03:20;6.4;11.1;12.6;9.9;12
09.02.2023 03:30;6.4;11.1;12.6;9.9;12
09.02.2023 03:40;6.5;11;12.6;9.9;12
09.02.2023 03:50;6.4;11;12.6;9.9;12
09.02.2023 04:00;6.2;11;12.6;9.9;12
09.02.2023 04:10;6.5;11;12.6;9.9;12
09.02.2023 04:20;6.5;11;12.6;9.9;12
09.02.2023 04:30;6.5;11;12.6;9.9;12
09.02.2023 04:40;6.5;11;12.6;9.9;12
09.02.2023 04:50;6.5;11;12.6;9.8;12
09.02.2023 05:00;6.5;11;12.6;9.8;12
09.02.2023 05:10;6.5;11;12.6;9.8;11.9
09.02.2023 05:20;6.5;11;12.6;9.9;11.9
09.02.2023 05:30;6.5;10.9;12.6;9.9;11.9
09.02.2023 05:40;6.5;10.9;12.6;9.9;11.9
09.02.2023 05:50;6.5;10.9;12.6;9.9;11.9
09.02.2023 06:00;6.5;10.9;12.6;9.9;11.9
09.02.2023 06:10;6.5;10.9;12.6;9.9;11.9
09.02.2023 06:20;6.5;10.9;12.6;9.9;11.9
09.02.2023 06:30;6.5;10.9;12.6;9.9;11.8
09.02.2023 06:40;6.5;10.8;12.6;9.9;11.8
09.02.2023 06:50;6.5;10.8;12.6;9.9;11.8
09.02.2023 07:00;6.5;10.8;12.6;9.9;11.8
09.02.2023 07:10;6.5;10.8;12.6;9.9;11.8
09.02.2023 07:20;6.5;10.8;12.6;9.9;11.8
09.02.2023 07:30;6.6;10.8;12.6;9.9;11.8
09.02.2023 07:40;6.5;10.8;12.6;9.9;11.8
09.02.2023 07:50;6.6;10.7;12.6;9.9;11.7
09.02.2023 08:00;6.5;10.7;12.7;9.9;11.7
09.02.2023 08:10;6.6;10.7;12.7;9.9;11.7
09.02.2023 08:20;6.6;10.6;12.7;9.9;11.7
09.02.2023 08:30;6.6;10.6;12.7;9.9;11.6
09.02.2023 08:40;6.7;10.6;12.7;9.9;11.7
09.02.2023 08:50;6.8;10.6;12.7;9.9;11.6
09.02.2023 09:00;6.8;10.6;12.7;9.9;11.6
09.02.2023 09:10;6.8;10.5;12.7;9.9;11.6
09.02.2023 09:20;6.8;10.5;12.7;9.9;11.6
09.02.2023 09:30;6.8;10.5;12.7;9.9;11.6
09.02.2023 09:40;6.8;10.5;12.7;9.9;11.6
09.02.2023 09:50;6.8;10.5;12.7;9.9;11.5
09.02.2023 10:00;6.8;10.5;12.7;9.9;11.5
09.02.2023 10:10;6.8;10.5;12.7;9.9;11.5
09.02.2023 10:20;6.8;10.5;12.7;9.9;11.5
09.02.2023 10:30;6.9;10.5;12.8;9.9;11.5
09.02.2023 10:40;6.8;10.5;12.8;9.9;11.5
09.02.2023 10:50;6.8;10.5;12.7;9.9;11.5
09.02.2023 11:00;6.9;10.6;12.7;9.9;11.5
09.02.2023 11:10;7;10.5;12.7;9.9;11.5
09.02.2023 11:20;6.9;10.6;12.8;9.9;11.5
09.02.2023 11:30;6.9;10.6;12.7;9.9;11.5
09.02.2023 11:40;6.9;10.6;12.7;9.9;11.5
09.02.2023 11:50;6.8;10.6;12.7;9.9;11.5
09.02.2023 12:00;;;12.7;9.9;11.5
09.02.2023 12:10;6.9;10.7;12.8;9.9;11.5
09.02.2023 12:20;6.9;10.8;12.7;9.9;11.5
09.02.2023 12:30;6.9;10.8;12.7;9.9;11.5
09.02.2023 12:40;6.9;10.9;12.7;9.9;11.5
09.02.2023 12:50;6.8;11;12.7;9.9;11.5
09.02.2023 13:00;6.9;11;12.7;9.9;11.6
09.02.2023 13:10;6.9;11;12.7;9.9;11.6
09.02.2023 13:20;6.8;11.1;;9.9;11.6
09.02.2023 13:30;6.8;11.1;;9.9;11.6
09.02.2023 13:40;6.9;11.1;12.6;;
09.02.2023 13:50;6.9;11.2;12.6;9.9;11.7
09.02.2023 14:00;6.9;11.3;12.6;9.9;11.7
09.02.2023 14:10;6.8;11.3;12.6;9.9;11.8
09.02.2023 14:20;6.8;11.4;12.6;9.9;11.8
09.02.2023 14:30;6.8;11.5;12.6;9.9;11.8
09.02.2023 14:40;6.8;11.6;12.6;9.9;11.8
09.02.2023 14:50;6.8;11.6;12.6;9.9;11.9
09.02.2023 15:00;6.8;11.7;12.6;9.9;12
09.02.2023 15:10;;;12.6;9.9;12
09.02.2023 15:20;6.6;11.8;12.6;9.9;12
09.02.2023 15:30;6.6;11.9;12.5;9.9;12.1
09.02.2023 15:40;6.6;12;12.5;9.9;12.1
09.02.2023 15:50;6.6;12;12.5;9.9;12.1
09.02.2023 16:00;6.6;12.1;12.5;9.9;12.2
09.02.2023 16:10;6.5;12.1;12.5;9.9;12.2
09.02.2023 16:20;6.2;12.3;12.4;9.9;12.3
09.02.2023 16:30;5.9;12.3;12.4;9.9;12.4
